Ticker,Cluster,k
AZN.L,1,10
BP.L,1,10
GLEN.L,1,10
RR.L,2,10
AAL.L,3,10
ABF.L,3,10
ADM.L,3,10
BBOX.L,3,10
BKG.L,3,10
BLND.L,3,10
DCC.L,3,10
DGE.L,3,10
KGF.L,3,10
LAND.L,3,10
LGEN.L,3,10
LMP.L,3,10
RIO.L,3,10
RMV.L,3,10
RTO.L,3,10
SGRO.L,3,10
STJ.L,3,10
ULVR.L,3,10
WTB.L,3,10
BA.L,4,10
CNA.L,4,10
III.L,4,10
BGEO.L,5,10
BEZ.L,6,10
CPG.L,6,10
DPLM.L,6,10
HSBA.L,6,10
IHG.L,6,10
LLOY.L,6,10
MKS.L,6,10
REL.L,6,10
SGE.L,6,10
SHEL.L,6,10
ABDN.L,7,10
BRBY.L,7,10
BTRW.L,7,10
CRDA.L,7,10
EDV.L,7,10
ENT.L,7,10
FRES.L,7,10
ITRK.L,7,10
JD.L,7,10
MNDI.L,7,10
PRU.L,7,10
PSN.L,7,10
RKT.L,7,10
SDR.L,7,10
SMT.L,7,10
SN.L,7,10
SPX.L,7,10
VOD.L,7,10
AAF.L,8,10
BAB.L,8,10
BARC.L,8,10
NWG.L,8,10
STAN.L,8,10
ALW.L,9,10
ANTO.L,9,10
AUTO.L,9,10
BATS.L,9,10
BNZL.L,9,10
BT-A.L,9,10
CCH.L,9,10
CTEC.L,9,10
EXPN.L,9,10
FCIT.L,9,10
GAW.L,9,10
GSK.L,9,10
HLMA.L,9,10
HSX.L,9,10
HWDN.L,9,10
ICG.L,9,10
IGG.L,9,10
LSEG.L,9,10
MNG.L,9,10
MRO.L,9,10
NG.L,9,10
SBRY.L,9,10
SMIN.L,9,10
SSE.L,9,10
SVT.L,9,10
TSCO.L,9,10
UU.L,9,10
WEIR.L,9,10
AV.L,10,10
CCEP.L,10,10
IAG.L,10,10
IMB.L,10,10
IMI.L,10,10
INF.L,10,10
NXT.L,10,10
PCT.L,10,10
PSH.L,10,10
PSON.L,10,10
