Ticker,Cluster
ALW.L,1
ANTO.L,1
AUTO.L,1
AV.L,1
BA.L,1
BAB.L,1
BARC.L,1
BEZ.L,1
BGEO.L,1
BNZL.L,1
CCEP.L,1
CCH.L,1
CNA.L,1
CPG.L,1
CTEC.L,1
DPLM.L,1
EXPN.L,1
FCIT.L,1
GAW.L,1
HSBA.L,1
HSX.L,1
IAG.L,1
IHG.L,1
III.L,1
IMB.L,1
IMI.L,1
INF.L,1
LLOY.L,1
LSEG.L,1
MKS.L,1
NWG.L,1
NXT.L,1
PCT.L,1
PSH.L,1
PSON.L,1
REL.L,1
RR.L,1
SGE.L,1
SMIN.L,1
STAN.L,1
TSCO.L,1
ULVR.L,1
WEIR.L,1
AAF.L,2
ABF.L,2
BATS.L,2
BKG.L,2
BT-A.L,2
EDV.L,2
FRES.L,2
GLEN.L,2
HLMA.L,2
IGG.L,2
MNG.L,2
MRO.L,2
RMV.L,2
GSK.L,3
NG.L,3
SSE.L,3
SVT.L,3
UU.L,3
WTB.L,3
AAL.L,4
ABDN.L,4
BBOX.L,4
BLND.L,4
BRBY.L,4
BTRW.L,4
CRDA.L,4
DCC.L,4
DGE.L,4
ENT.L,4
ITRK.L,4
JD.L,4
KGF.L,4
LAND.L,4
LGEN.L,4
LMP.L,4
MNDI.L,4
PRU.L,4
PSN.L,4
RIO.L,4
RTO.L,4
SDR.L,4
SGRO.L,4
SMT.L,4
SN.L,4
SPX.L,4
STJ.L,4
VOD.L,4
ADM.L,5
AZN.L,5
BP.L,5
HWDN.L,5
ICG.L,5
RKT.L,5
SBRY.L,5
SHEL.L,5
